Date,Open,High,Low,Close,Adj Close,Volume
2015-04-27,212.330002,212.479996,210.539993,210.770004,190.729431,79358100
2015-04-28,210.740005,211.500000,209.330002,211.440002,191.335770,86863500
2015-04-29,210.369995,211.289993,209.600006,210.570007,190.548477,125684900
2015-04-30,209.880005,210.350006,207.619995,208.460007,188.639069,161304900
2015-05-01,209.399994,210.770004,209.279999,210.720001,190.684189,103399700
2015-05-04,211.229996,212.020004,211.100006,211.320007,191.227142,70927200
2015-05-05,211.029999,211.460007,208.729996,208.899994,189.037262,113326200
2015-05-06,209.559998,209.929993,206.759995,208.039993,188.259018,135060200
2015-05-07,207.919998,209.380005,207.520004,208.869995,189.010117,88244900
2015-05-08,210.880005,211.860001,210.779999,211.619995,191.498642,155877300
2015-05-11,211.570007,211.889999,210.520004,210.610001,190.584671,75708100
2015-05-12,209.610001,210.630005,208.619995,209.979996,190.014572,119727600
2015-05-13,210.470001,211.220001,209.740005,210.020004,190.050766,94667900
2015-05-14,211.240005,212.320007,210.910004,212.210007,192.032532,95934000
2015-05-15,212.440002,212.610001,211.860001,212.440002,192.240662,76510100
2015-05-18,212.240005,213.399994,212.160004,213.100006,192.837921,74549700
2015-05-19,213.240005,213.570007,212.690002,213.029999,192.774567,72114600
2015-05-20,213.149994,213.779999,212.500000,212.880005,192.638824,76857500
2015-05-21,212.710007,213.750000,212.509995,213.500000,193.199844,64764600
2015-05-22,213.039993,213.539993,212.910004,212.990005,192.738388,57433500
2015-05-26,212.399994,212.910004,210.199997,210.699997,190.666092,124308600
2015-05-27,211.250000,212.979996,210.759995,212.699997,192.475937,93214000
2015-05-28,212.330002,212.589996,211.630005,212.460007,192.258804,74974600
2015-05-29,212.380005,212.429993,210.820007,211.139999,191.064285,124919600
2015-06-01,211.940002,212.339996,210.619995,211.570007,191.453415,93338800
2015-06-02,211.020004,212.190002,210.270004,211.360001,191.263336,91531000
2015-06-03,212.000000,212.669998,211.330002,211.919998,191.770096,87820900
2015-06-04,211.070007,211.860001,209.750000,210.130005,190.150314,151882800
2015-06-05,209.949997,210.580002,208.979996,209.770004,189.824524,121704700
2015-06-08,209.639999,209.820007,208.389999,208.479996,188.657211,89063300
2015-06-09,208.449997,209.100006,207.690002,208.449997,188.629974,105034700
2015-06-10,209.369995,211.410004,209.300003,210.949997,190.892334,134551300
2015-06-11,211.479996,212.089996,211.199997,211.630005,191.507675,73876400
2015-06-12,210.639999,211.479996,209.679993,210.009995,190.041733,135382400
2015-06-15,208.639999,209.449997,207.789993,209.110001,189.227280,124384200
2015-06-16,208.929993,210.350006,208.720001,210.250000,190.258896,85308200
2015-06-17,210.589996,211.320007,209.360001,210.589996,190.566559,126708600
2015-06-18,211.309998,213.339996,210.630005,212.779999,192.548340,165867900
2015-06-19,211.460007,211.550003,210.360001,210.809998,191.693558,130478700
2015-06-22,211.910004,212.589996,211.639999,211.889999,192.675644,70696000
2015-06-23,212.139999,212.440002,211.570007,212.039993,192.812057,68476800
2015-06-24,211.720001,212.169998,210.470001,210.500000,191.411682,92307300
2015-06-25,211.100006,211.250000,209.770004,209.860001,190.829727,97107400
2015-06-26,210.289993,210.580002,209.160004,209.820007,190.793320,104174800
2015-06-29,208.050003,209.830002,205.330002,205.419998,186.792374,202621300
2015-06-30,207.259995,207.320007,205.279999,205.850006,187.183365,182925100
2015-07-01,207.729996,208.029999,206.559998,207.500000,188.683701,135979900
2015-07-02,208.070007,208.270004,206.809998,207.309998,188.510941,104373700
2015-07-06,205.770004,207.649994,205.529999,206.720001,187.974487,117975400
